,날짜,거래량,변동 %
0,2020-12-30,131991000000,1.96
1,2020-12-29,165651000000,0.23
2,2020-12-28,212071000000,0.24
3,2020-12-24,149051000000,1.95
4,2020-12-23,189861000000,1.47
5,2020-12-22,129121000000,-1.46
6,2020-12-21,139241000000,0.22
7,2020-12-18,161551000000,-0.18
8,2020-12-17,133111000000,-0.17
9,2020-12-16,100991000000,0.47
10,2020-12-15,117241000000,-0.21
11,2020-12-14,117401000000,-0.3
12,2020-12-11,156341000000,0.92
13,2020-12-10,205791000000,-0.61
14,2020-12-09,128081000000,2.16
15,2020-12-08,132051000000,-1.78
16,2020-12-07,151451000000,0.72
17,2020-12-04,195311000000,1.6
18,2020-12-03,126561000000,0.94
19,2020-12-02,127841000000,1.69
20,2020-12-01,133911000000,1.88
21,2020-11-30,234771000000,-1.94
22,2020-11-27,100191000000,0.13
23,2020-11-26,116201000000,1.03
24,2020-11-25,216531000000,-0.54
25,2020-11-24,204671000000,0.63
26,2020-11-23,293381000000,2.19
27,2020-11-20,90931000000,0.07
28,2020-11-19,116881000000,0.09
29,2020-11-18,117891000000,0.26
30,2020-11-17,171321000000,-0.16
31,2020-11-16,243841000000,2.14
32,2020-11-13,139781000000,0.86
33,2020-11-12,201441000000,-0.47
34,2020-11-11,183111000000,1.64
35,2020-11-10,198641000000,0.08
36,2020-11-09,179791000000,1.0
37,2020-11-06,89601000000,0.18
38,2020-11-05,111991000000,2.52
39,2020-11-04,111281000000,0.63
40,2020-11-03,80221000000,1.82
41,2020-11-02,83061000000,1.51
42,2020-10-30,131811000000,-2.69
43,2020-10-29,91331000000,-0.87
44,2020-10-28,74961000000,0.36
45,2020-10-27,107221000000,-0.51
46,2020-10-26,103941000000,-0.35
47,2020-10-23,86311000000,0.21
48,2020-10-22,96001000000,-0.69
49,2020-10-21,90231000000,0.31
50,2020-10-20,94301000000,0.66
51,2020-10-19,92791000000,0.18
52,2020-10-16,89761000000,-0.64
53,2020-10-15,84391000000,-0.78
54,2020-10-14,87691000000,-1.0
55,2020-10-13,88051000000,0.14
56,2020-10-12,97291000000,0.48
57,2020-10-08,115901000000,0.05
58,2020-10-07,79471000000,0.96
59,2020-10-06,85511000000,0.38
60,2020-10-05,108461000000,1.31
61,2020-09-29,77011000000,0.83
62,2020-09-28,62631000000,1.21
63,2020-09-25,72881000000,0.32
64,2020-09-24,102891000000,-2.36
65,2020-09-23,97951000000,0.08
66,2020-09-22,108181000000,-2.21
67,2020-09-21,96711000000,-0.82
68,2020-09-18,89031000000,0.11
69,2020-09-17,116971000000,-1.29
70,2020-09-16,92851000000,-0.3
71,2020-09-15,95861000000,0.71
72,2020-09-14,98051000000,1.43
73,2020-09-11,83601000000,-0.01
74,2020-09-10,114701000000,0.85
75,2020-09-09,123461000000,-1.05
76,2020-09-08,122071000000,1.12
77,2020-09-07,115541000000,0.47
78,2020-09-04,128761000000,-1.42
79,2020-09-03,126891000000,1.46
80,2020-09-02,94901000000,0.42
81,2020-09-01,100161000000,0.89
82,2020-08-31,146791000000,-1.79
83,2020-08-28,97061000000,0.29
84,2020-08-27,101011000000,-0.94
85,2020-08-26,102121000000,0.15
86,2020-08-25,112411000000,1.37
87,2020-08-24,96991000000,1.07
88,2020-08-21,110601000000,1.52
89,2020-08-20,146741000000,-3.79
90,2020-08-19,99991000000,0.24
91,2020-08-18,156561000000,-2.07
92,2020-08-14,134171000000,-1.33
