날짜,종가,거래량
2016-01-04,490.31,569.79M
2016-01-05,489.14,428.07M
2016-01-06,483.58,501.75M
2016-01-07,468.94,590.07M
2016-01-08,464.36,540.57M
2016-01-11,463.8,528.17M
2016-01-12,468.59000000000003,498.55M
2016-01-13,452.61,570.19M
2016-01-14,461.5,593.87M
2016-01-15,448.84000000000003,739.41M
2016-01-19,447.7,572.07M
2016-01-20,447.17,716.73M
2016-01-21,447.21000000000004,567.90M
2016-01-22,459.12,523.81M
2016-01-25,451.85,483.49M
2016-01-26,456.77,461.53M
2016-01-27,446.82,513.42M
2016-01-28,450.67,545.17M
2016-01-29,461.40000000000003,754.58M
2016-02-01,462.04,480.04M
2016-02-02,451.7,511.64M
2016-02-03,450.42,577.23M
2016-02-04,450.96000000000004,543.90M
2016-02-05,436.31,636.44M
2016-02-08,428.38,673.87M
2016-02-09,426.88,579.16M
2016-02-10,428.36,561.08M
2016-02-11,426.68,688.73M
2016-02-12,433.75,506.31M
2016-02-16,443.6,553.80M
2016-02-17,453.41,576.51M
2016-02-18,448.75,472.55M
2016-02-19,450.44,488.38M
2016-02-22,457.06,427.62M
2016-02-23,450.36,388.34M
2016-02-24,454.26,452.41M
2016-02-25,458.22,392.23M
2016-02-26,459.05,438.38M
2016-02-29,455.8,565.97M
2016-03-01,468.96000000000004,507.41M
2016-03-02,470.34000000000003,452.45M
2016-03-03,470.74,444.92M
2016-03-04,471.7,510.77M
2016-03-07,470.83,486.23M
2016-03-08,464.88,467.11M
2016-03-09,467.44,410.13M
2016-03-10,466.22,439.52M
2016-03-11,474.85,416.03M
2016-03-14,475.03000000000003,379.76M
2016-03-15,472.87,397.35M
2016-03-16,476.40000000000003,402.69M
2016-03-17,477.5,435.04M
2016-03-18,479.56,1.14B
2016-03-21,480.89,375.80M
2016-03-22,482.17,373.16M
2016-03-23,476.89,399.92M
2016-03-24,477.35,383.91M
2016-03-28,476.68,336.93M
2016-03-29,484.66,453.24M
2016-03-30,486.93,388.83M
2016-03-31,486.99,452.45M
2016-04-01,491.45,443.37M
2016-04-04,489.18,386.30M
2016-04-05,484.39,430.35M
2016-04-06,492.07,402.78M
2016-04-07,484.84000000000003,452.84M
2016-04-08,485.07,367.47M
2016-04-11,483.34000000000003,361.58M
2016-04-12,487.21000000000004,385.61M
2016-04-13,494.74,431.41M
2016-04-14,494.59000000000003,369.79M
2016-04-15,493.82,432.04M
2016-04-18,496.0,370.38M
2016-04-19,494.03000000000003,413.23M
2016-04-20,494.81,394.43M
2016-04-21,494.59000000000003,383.40M
2016-04-22,490.62,489.17M
2016-04-25,489.58,369.67M
2016-04-26,488.83,417.36M
2016-04-27,486.31,441.73M
2016-04-28,480.53000000000003,478.62M
2016-04-29,477.54,602.09M
2016-05-02,481.76,435.63M
2016-05-03,476.32,445.57M
2016-05-04,472.56,469.20M
2016-05-05,471.71000000000004,448.69M
2016-05-06,473.61,441.06M
2016-05-09,475.02,395.51M
2016-05-10,480.99,401.00M
2016-05-11,476.07,417.00M
2016-05-12,473.73,447.76M
2016-05-13,471.77,407.81M
2016-05-16,477.55,419.40M
2016-05-17,471.57,472.99M
2016-05-18,473.91,445.26M
2016-05-19,471.25,405.76M
2016-05-20,476.96000000000004,484.07M
2016-05-23,476.58,410.29M
2016-05-24,486.11,433.12M
2016-05-25,489.49,397.17M
2016-05-26,490.18,354.80M
2016-05-27,493.35,363.02M
2016-05-31,494.81,711.67M
2016-06-01,495.23,423.30M
2016-06-02,497.14,386.10M
2016-06-03,494.25,382.23M
2016-06-06,496.87,385.15M
2016-06-07,496.18,391.05M
2016-06-08,497.46000000000004,367.54M
2016-06-09,495.86,361.93M
2016-06-10,489.45,402.18M
2016-06-13,484.84000000000003,420.34M
2016-06-14,484.35,401.84M
2016-06-15,483.49,402.22M
2016-06-16,484.49,389.89M
2016-06-17,480.03000000000003,1.01B
2016-06-20,483.72,412.67M
2016-06-21,484.38,391.14M
2016-06-22,483.33,376.04M
2016-06-23,491.0,398.65M
2016-06-24,470.8,1.52B
2016-06-27,459.44,619.73M
2016-06-28,469.19,470.19M
2016-06-29,477.92,466.31M
2016-06-30,484.27,574.07M
2016-07-01,486.26,380.07M
2016-07-05,482.29,406.89M
2016-07-06,485.92,436.56M
2016-07-07,487.68,352.30M
2016-07-08,495.68,433.26M
2016-07-11,498.86,386.48M
2016-07-12,502.28000000000003,417.28M
2016-07-13,500.57,373.97M
2016-07-14,503.41,348.81M
2016-07-15,502.96000000000004,395.58M
2016-07-18,505.58,332.33M
2016-07-19,503.64,362.67M
2016-07-20,508.99,375.16M
2016-07-21,507.39,384.26M
2016-07-22,510.02000000000004,357.67M
2016-07-25,509.76,371.48M
2016-07-26,511.0,428.74M
2016-07-27,513.98,470.66M
2016-07-28,515.5,424.08M
2016-07-29,516.21,571.66M
2016-08-01,518.42,420.98M
2016-08-02,513.77,470.89M
2016-08-03,515.97,415.75M
2016-08-04,516.63,398.61M
2016-08-05,522.11,439.90M
2016-08-08,521.3100000000001,370.90M
2016-08-09,522.55,358.07M
2016-08-10,520.46,380.41M
2016-08-11,522.84,344.26M
2016-08-12,523.29,338.98M
2016-08-15,526.2,350.65M
2016-08-16,522.71,385.30M
2016-08-17,522.87,361.66M
2016-08-18,524.01,377.74M
2016-08-19,523.84,408.44M
2016-08-22,524.46,347.30M
2016-08-23,526.01,350.84M
2016-08-24,521.77,380.49M
2016-08-25,521.22,338.21M
2016-08-26,521.89,361.69M
2016-08-29,523.23,324.63M
2016-08-30,522.3,374.16M
2016-08-31,521.32,486.24M
2016-09-01,522.72,376.35M
2016-09-02,524.99,351.35M
2016-09-06,527.59,421.08M
2016-09-07,528.39,459.36M
2016-09-08,525.95,412.37M
2016-09-09,512.59,508.59M
2016-09-12,521.19,464.62M
2016-09-13,515.53,456.69M
2016-09-14,517.38,421.65M
2016-09-15,524.97,437.68M
2016-09-16,524.46,1.11B
2016-09-19,523.5,400.16M
2016-09-20,524.14,379.36M
2016-09-21,529.52,446.65M
2016-09-22,533.95,415.83M
2016-09-23,530.58,406.33M
2016-09-26,525.75,376.06M
2016-09-27,530.57,392.69M
2016-09-28,531.85,398.16M
2016-09-29,526.91,437.78M
2016-09-30,531.2,555.18M
2016-10-03,530.09,370.99M
2016-10-04,528.97,392.87M
2016-10-05,531.6,422.05M
2016-10-06,530.69,402.08M
