year,month,소비자심리지수
2016,1,100.0
2016,2,97.9
2016,3,100.0
2016,4,101.5
2016,5,99.2
2016,6,98.8
2016,7,101.0
2016,8,101.9
2016,9,101.8
2016,10,102.0
2016,11,95.7
2016,12,94.1
2017,1,93.3
2017,2,94.4
2017,3,96.7
2017,4,101.2
2017,5,108.0
2017,6,110.8
2017,7,110.9
2017,8,109.6
2017,9,107.4
2017,10,108.9
2017,11,112.0
2017,12,110.6
2018,1,110.7
2018,2,109.0
2018,3,108.9
2018,4,107.9
2018,5,108.8
2018,6,106.3
2018,7,101.8
2018,8,99.9
2018,9,100.7
2018,10,99.9
2018,11,96.5
2018,12,97.6
2019,1,98.3
2019,2,100.3
2019,3,100.5
2019,4,102.4
2019,5,98.7
2019,6,98.4
2019,7,96.9
2019,8,93.5
2019,9,97.9
2019,10,99.5
2019,11,101.7
2019,12,101.3
2020,1,104.8
2020,2,97.8
2020,3,80.4
2020,4,73.3
2020,5,79.7
2020,6,83.7
2020,7,85.9
2020,8,89.7
2020,9,81.4
2020,10,92.9
2020,11,99.0
2020,12,91.2
