날짜,종가
2016-01-04,1190.3500000000001
2016-01-05,1190.81
2016-01-06,1200.52
2016-01-07,1197.29
2016-01-08,1207.94
2016-01-11,1204.76
2016-01-12,1210.33
2016-01-13,1210.24
2016-01-14,1207.74
2016-01-15,1214.81
2016-01-18,1211.57
2016-01-19,1207.49
2016-01-20,1209.25
2016-01-21,1203.76
2016-01-22,1197.57
2016-01-25,1199.7
2016-01-26,1198.2
2016-01-27,1208.79
2016-01-28,1207.74
2016-01-29,1208.1100000000001
2016-02-01,1202.79
2016-02-02,1212.48
2016-02-03,1201.14
2016-02-04,1191.94
2016-02-05,1206.3500000000001
2016-02-08,1204.05
2016-02-09,1198.7
2016-02-10,1189.05
2016-02-11,1200.65
2016-02-12,1207.0
2016-02-15,1214.74
2016-02-16,1218.91
2016-02-17,1224.24
2016-02-18,1228.94
2016-02-19,1233.8700000000001
2016-02-22,1224.44
2016-02-23,1232.04
2016-02-24,1232.71
2016-02-25,1235.2
2016-02-26,1243.13
2016-02-29,1238.24
2016-03-01,1229.3500000000001
2016-03-02,1225.1000000000001
2016-03-03,1212.07
2016-03-04,1198.5
2016-03-07,1199.89
2016-03-08,1210.24
2016-03-09,1209.8500000000001
2016-03-10,1205.44
2016-03-11,1187.9
2016-03-14,1189.05
2016-03-15,1194.94
2016-03-16,1178.94
2016-03-17,1154.94
2016-03-18,1164.3
2016-03-21,1161.3
2016-03-22,1157.27
2016-03-23,1168.8500000000001
2016-03-24,1168.55
2016-03-25,1169.05
2016-03-28,1165.99
2016-03-29,1155.74
2016-03-30,1143.8500000000001
2016-03-31,1144.97
2016-04-01,1147.89
2016-04-04,1152.16
2016-04-05,1160.81
2016-04-06,1155.84
2016-04-07,1160.8
2016-04-08,1151.64
2016-04-11,1142.64
2016-04-12,1143.89
2016-04-13,1146.24
2016-04-14,1153.74
2016-04-15,1146.99
2016-04-18,1144.28
2016-04-19,1128.99
2016-04-20,1133.74
2016-04-21,1141.39
2016-04-22,1149.99
2016-04-25,1151.21
2016-04-26,1147.9
2016-04-27,1149.01
2016-04-28,1137.6000000000001
2016-04-29,1144.83
2016-05-02,1137.1000000000001
2016-05-03,1151.89
2016-05-04,1167.1000000000001
2016-05-05,1167.89
2016-05-06,1169.3
2016-05-09,1175.6000000000001
2016-05-10,1170.94
2016-05-11,1165.55
2016-05-12,1170.3500000000001
2016-05-13,1176.8
2016-05-16,1178.2
2016-05-17,1177.24
2016-05-18,1189.55
2016-05-19,1187.48
2016-05-20,1186.2
2016-05-23,1183.24
2016-05-24,1188.24
2016-05-25,1181.8500000000001
2016-05-26,1180.05
2016-05-27,1186.25
2016-05-30,1193.39
2016-05-31,1189.74
2016-06-01,1192.3700000000001
2016-06-02,1186.81
2016-06-03,1163.55
2016-06-06,1162.99
2016-06-07,1156.3
2016-06-08,1154.25
2016-06-09,1159.3500000000001
2016-06-10,1171.53
2016-06-13,1172.44
2016-06-14,1176.3500000000001
2016-06-15,1169.14
2016-06-16,1172.65
2016-06-17,1170.46
2016-06-20,1159.89
2016-06-21,1153.55
2016-06-22,1149.28
2016-06-23,1141.75
2016-06-24,1171.95
2016-06-27,1180.55
2016-06-28,1167.07
2016-06-29,1154.32
2016-06-30,1152.3500000000001
2016-07-01,1150.0
2016-07-04,1152.14
2016-07-05,1159.05
2016-07-06,1159.45
2016-07-07,1158.25
2016-07-08,1149.8
2016-07-11,1150.98
2016-07-12,1143.64
2016-07-13,1145.8700000000001
2016-07-14,1132.55
2016-07-15,1138.6000000000001
2016-07-18,1135.24
2016-07-19,1141.29
2016-07-20,1143.25
2016-07-21,1138.01
2016-07-22,1136.3500000000001
2016-07-25,1142.44
2016-07-26,1137.8
2016-07-27,1131.63
2016-07-28,1124.6000000000001
2016-07-29,1112.24
2016-08-01,1108.44
2016-08-02,1111.75
2016-08-03,1117.0
2016-08-04,1113.94
2016-08-05,1115.27
2016-08-08,1107.55
2016-08-09,1103.05
2016-08-10,1096.44
2016-08-11,1097.8500000000001
2016-08-12,1103.49
2016-08-15,1097.91
2016-08-16,1095.8600000000001
2016-08-17,1108.07
2016-08-18,1108.14
2016-08-19,1115.57
2016-08-22,1123.74
2016-08-23,1120.58
2016-08-24,1121.39
2016-08-25,1115.82
2016-08-26,1122.51
2016-08-29,1120.08
2016-08-30,1120.24
2016-08-31,1116.3
2016-09-01,1118.09
2016-09-02,1116.45
2016-09-05,1104.55
2016-09-06,1094.64
2016-09-07,1090.7
2016-09-08,1098.63
2016-09-09,1108.73
2016-09-12,1107.68
2016-09-13,1128.16
2016-09-14,1126.57
2016-09-15,1124.89
2016-09-16,1126.05
2016-09-19,1119.45
2016-09-20,1117.2
2016-09-21,1103.84
2016-09-22,1103.34
2016-09-23,1104.01
2016-09-26,1108.91
2016-09-27,1096.93
2016-09-28,1092.6000000000001
2016-09-29,1102.67
2016-09-30,1101.91
2016-10-03,1104.13
2016-10-04,1116.58
2016-10-05,1115.02
2016-10-06,1115.3600000000001
2016-10-07,1115.76
2016-10-10,1108.63
2016-10-11,1124.99
2016-10-12,1125.51
2016-10-13,1129.69
2016-10-14,1136.41
2016-10-17,1136.56
2016-10-18,1125.13
2016-10-19,1120.3600000000001
2016-10-20,1131.13
2016-10-21,1136.21
2016-10-24,1135.6000000000001
2016-10-25,1130.23
2016-10-26,1138.76
2016-10-27,1147.41
2016-10-28,1147.32
2016-10-31,1142.73
2016-11-01,1145.8500000000001
2016-11-02,1145.06
2016-11-03,1144.47
2016-11-04,1141.45
2016-11-07,1141.67
2016-11-08,1128.93
2016-11-09,1157.89
2016-11-10,1166.39
2016-11-11,1165.58
2016-11-14,1168.91
2016-11-15,1167.63
2016-11-16,1170.69
2016-11-17,1180.02
2016-11-18,1181.08
2016-11-21,1180.19
2016-11-22,1170.08
2016-11-23,1181.89
2016-11-24,1182.14
2016-11-25,1175.77
2016-11-28,1171.89
2016-11-29,1167.76
2016-11-30,1177.8
2016-12-01,1167.73
2016-12-02,1167.32
2016-12-05,1167.15
2016-12-06,1171.54
2016-12-07,1158.28
2016-12-08,1162.79
2016-12-09,1172.89
2016-12-12,1164.73
2016-12-13,1164.3
2016-12-14,1179.72
2016-12-15,1183.39
2016-12-16,1186.58
2016-12-19,1188.14
2016-12-20,1192.21
2016-12-21,1194.19
2016-12-22,1205.26
2016-12-23,1200.3600000000001
2016-12-26,1200.99
2016-12-27,1207.67
2016-12-28,1211.93
2016-12-29,1206.39
2016-12-30,1207.26
2017-01-02,1203.93
2017-01-03,1206.82
2017-01-04,1196.15
2017-01-05,1182.19
2017-01-06,1202.0
2017-01-09,1203.3600000000001
2017-01-10,1201.8
2017-01-11,1187.88
2017-01-12,1175.91
2017-01-13,1175.0
2017-01-16,1183.38
2017-01-17,1160.84
2017-01-18,1178.38
2017-01-19,1175.18
2017-01-20,1175.39
2017-01-23,1163.23
2017-01-24,1170.23
2017-01-25,1162.7
2017-01-26,1172.39
2017-01-27,1178.82
2017-01-30,1170.71
2017-01-31,1151.65
2017-02-01,1153.71
2017-02-02,1144.1000000000001
2017-02-03,1138.52
2017-02-06,1134.99
2017-02-07,1143.39
2017-02-08,1145.2
2017-02-09,1151.02
2017-02-10,1146.6000000000001
2017-02-13,1149.71
2017-02-14,1138.89
2017-02-15,1135.28
2017-02-16,1141.99
2017-02-17,1150.78
2017-02-20,1145.38
2017-02-21,1142.89
2017-02-22,1138.48
2017-02-23,1133.1000000000001
2017-02-24,1130.5
2017-02-27,1134.65
2017-02-28,1137.8
2017-03-01,1140.23
2017-03-02,1150.71
2017-03-03,1152.32
2017-03-06,1155.15
2017-03-07,1150.67
2017-03-08,1155.19
2017-03-09,1160.1000000000001
2017-03-10,1148.81
2017-03-13,1147.99
2017-03-14,1149.97
2017-03-15,1128.6200000000001
2017-03-16,1128.82
2017-03-17,1129.04
2017-03-20,1114.52
2017-03-21,1123.03
2017-03-22,1117.28
2017-03-23,1122.68
2017-03-24,1117.56
2017-03-27,1111.32
2017-03-28,1116.41
2017-03-29,1111.47
2017-03-30,1118.6000000000001
2017-03-31,1117.65
2017-04-03,1117.28
2017-04-04,1125.1000000000001
2017-04-05,1128.28
2017-04-06,1131.3
2017-04-07,1137.89
2017-04-10,1143.47
2017-04-11,1145.63
2017-04-12,1134.95
2017-04-13,1136.32
2017-04-14,1136.45
2017-04-17,1133.02
2017-04-18,1142.64
2017-04-19,1143.69
2017-04-20,1138.1200000000001
2017-04-21,1134.57
2017-04-24,1134.38
2017-04-25,1128.23
2017-04-26,1133.03
2017-04-27,1131.65
2017-04-28,1137.88
2017-05-01,1137.6000000000001
2017-05-02,1129.2
2017-05-03,1133.95
2017-05-04,1135.6000000000001
2017-05-05,1135.71
2017-05-08,1133.69
2017-05-09,1139.15
2017-05-10,1132.05
2017-05-11,1124.41
2017-05-12,1123.41
2017-05-15,1118.1200000000001
2017-05-16,1116.06
2017-05-17,1123.06
2017-05-18,1129.19
2017-05-19,1117.6200000000001
2017-05-22,1116.04
2017-05-23,1125.46
2017-05-24,1119.23
2017-05-25,1120.3600000000001
2017-05-26,1118.84
2017-05-29,1122.05
2017-05-30,1124.49
2017-05-31,1119.65
2017-06-01,1122.13
2017-06-02,1118.39
2017-06-05,1118.31
2017-06-06,1118.08
2017-06-07,1124.28
2017-06-08,1121.95
2017-06-09,1125.3
2017-06-12,1130.97
2017-06-13,1127.73
2017-06-14,1119.93
2017-06-15,1130.84
2017-06-16,1133.08
2017-06-19,1136.78
2017-06-20,1141.93
2017-06-21,1143.32
2017-06-22,1139.3
2017-06-23,1134.89
2017-06-26,1133.52
2017-06-27,1140.56
2017-06-28,1138.93
2017-06-29,1147.3
2017-06-30,1145.43
2017-07-03,1150.28
2017-07-04,1150.73
2017-07-05,1153.34
2017-07-06,1157.26
2017-07-07,1153.74
2017-07-10,1149.58
2017-07-11,1149.17
2017-07-12,1138.32
2017-07-13,1137.8500000000001
2017-07-14,1129.1000000000001
2017-07-17,1128.39
2017-07-18,1125.29
2017-07-19,1124.6000000000001
2017-07-20,1121.24
2017-07-21,1118.84
2017-07-24,1115.4
2017-07-25,1120.02
2017-07-26,1112.6000000000001
2017-07-27,1117.3500000000001
2017-07-28,1124.69
2017-07-31,1119.4
2017-08-01,1121.54
2017-08-02,1122.97
2017-08-03,1128.95
2017-08-04,1128.78
2017-08-07,1127.15
2017-08-08,1129.18
2017-08-09,1139.4
2017-08-10,1144.17
2017-08-11,1142.8600000000001
2017-08-14,1139.41
2017-08-15,1135.93
2017-08-16,1135.6000000000001
2017-08-17,1142.5
2017-08-18,1139.78
2017-08-21,1138.71
2017-08-22,1132.38
2017-08-23,1127.58
2017-08-24,1128.23
2017-08-25,1121.6000000000001
2017-08-28,1118.47
2017-08-29,1124.52
2017-08-30,1124.18
2017-08-31,1124.8600000000001
2017-09-01,1121.69
2017-09-04,1133.39
2017-09-05,1132.52
2017-09-06,1132.8500000000001
2017-09-07,1127.89
2017-09-08,1131.97
2017-09-11,1130.34
2017-09-12,1128.69
2017-09-13,1132.08
2017-09-14,1134.32
2017-09-15,1133.21
2017-09-18,1129.8600000000001
2017-09-19,1131.18
2017-09-20,1131.79
2017-09-21,1132.76
2017-09-22,1133.13
2017-09-25,1134.8
2017-09-26,1137.6200000000001
2017-09-27,1145.76
2017-09-28,1146.58
2017-09-29,1145.3
2017-10-02,1146.6200000000001
2017-10-03,1143.24
2017-10-04,1142.99
2017-10-05,1142.41
2017-10-06,1145.32
2017-10-09,1143.82
2017-10-10,1135.31
2017-10-11,1132.91
2017-10-12,1132.89
2017-10-13,1126.67
2017-10-16,1128.28
2017-10-17,1131.21
2017-10-18,1132.88
2017-10-19,1129.01
2017-10-20,1132.31
2017-10-23,1130.8600000000001
2017-10-24,1130.93
2017-10-25,1127.81
2017-10-26,1128.75
2017-10-27,1125.97
2017-10-30,1124.78
2017-10-31,1118.42
2017-11-01,1111.52
2017-11-02,1112.3500000000001
2017-11-03,1116.29
2017-11-06,1112.84
2017-11-07,1113.93
2017-11-08,1114.31
2017-11-09,1118.3600000000001
2017-11-10,1120.96
2017-11-13,1119.89
2017-11-14,1115.52
2017-11-15,1105.69
2017-11-16,1097.18
2017-11-17,1094.32
2017-11-20,1097.04
2017-11-21,1091.13
2017-11-22,1086.06
2017-11-23,1083.99
2017-11-24,1085.6200000000001
2017-11-27,1091.69
2017-11-28,1083.95
2017-11-29,1082.1
2017-11-30,1088.13
2017-12-01,1083.47
2017-12-04,1086.3
2017-12-05,1087.6200000000001
2017-12-06,1093.99
2017-12-07,1093.6000000000001
2017-12-08,1092.8500000000001
2017-12-11,1088.84
2017-12-12,1092.89
2017-12-13,1084.56
2017-12-14,1089.22
2017-12-15,1088.95
2017-12-18,1086.05
2017-12-19,1085.67
2017-12-20,1080.56
2017-12-21,1080.54
2017-12-22,1077.74
2017-12-25,1076.56
2017-12-26,1076.1200000000001
2017-12-27,1075.22
2017-12-28,1070.26
2017-12-29,1067.38
2018-01-01,1066.6
2018-01-02,1063.21
2018-01-03,1064.8
2018-01-04,1062.28
2018-01-05,1062.09
2018-01-08,1068.8600000000001
2018-01-09,1071.97
2018-01-10,1070.14
2018-01-11,1065.58
2018-01-12,1059.99
2018-01-15,1063.43
2018-01-16,1064.65
2018-01-17,1067.3600000000001
2018-01-18,1070.69
2018-01-19,1067.66
