날짜,종가,거래량
2020-12-30,968.42,1.64B
2020-12-29,957.41,1.51B
2020-12-28,927.0,1.64B
2020-12-24,928.68,1.72B
2020-12-23,923.17,1.92B
2020-12-22,928.73,1.86B
2020-12-21,953.58,1.93B
2020-12-18,947.24,2.11B
2020-12-17,944.04,2.65B
2020-12-16,939.65,2.00B
2020-12-15,931.27,2.10B
2020-12-14,929.54,1.61B
2020-12-11,928.44,1.91B
2020-12-10,921.7,2.67B
2020-12-09,913.81,2.70B
2020-12-08,906.84,2.60B
2020-12-07,926.88,2.24B
2020-12-04,913.76,2.17B
2020-12-03,907.61,2.36B
2020-12-02,899.34,1.89B
2020-12-01,891.29,2.13B
2020-11-30,886.11,1.74B
2020-11-27,885.56,1.83B
2020-11-26,874.53,1.92B
2020-11-25,865.12,2.49B
2020-11-24,872.1,3.19B
2020-11-23,873.29,2.12B
2020-11-20,870.18,2.15B
2020-11-19,859.94,2.25B
2020-11-18,851.74,2.33B
2020-11-17,839.47,1.79B
2020-11-16,847.33,1.62B
2020-11-13,839.14,1.88B
2020-11-12,840.08,2.07B
2020-11-11,839.9,2.28B
2020-11-10,840.79,1.82B
2020-11-09,851.21,1.74B
2020-11-06,836.78,1.92B
2020-11-05,844.8,1.66B
2020-11-04,826.97,1.80B
2020-11-03,818.46,1.67B
2020-11-02,802.95,1.54B
2020-10-30,792.65,1.88B
2020-10-29,813.93,1.94B
2020-10-28,806.2,2.05B
2020-10-27,783.73,2.06B
2020-10-26,778.02,1.63B
2020-10-23,807.98,1.61B
2020-10-22,812.7,1.73B
2020-10-21,830.67,1.49B
2020-10-20,824.65,1.66B
2020-10-19,822.25,1.70B
2020-10-16,833.84,2.28B
2020-10-15,844.44,2.24B
2020-10-14,861.48,2.37B
2020-10-13,871.92,2.28B
2020-10-12,873.5,2.01B
2020-10-08,871.62,1.99B
2020-10-07,869.66,2.01B
2020-10-06,862.58,1.98B
2020-10-05,858.39,1.68B
2020-09-29,848.15,2.08B
2020-09-28,835.91,1.94B
2020-09-25,808.28,2.21B
2020-09-24,806.95,2.20B
2020-09-23,843.45,2.25B
2020-09-22,842.72,1.97B
2020-09-21,866.99,1.97B
2020-09-18,888.88,1.77B
2020-09-17,885.18,2.29B
2020-09-16,896.28,2.41B
2020-09-15,899.46,2.10B
2020-09-14,894.17,1.70B
2020-09-11,888.44,1.99B
2020-09-10,884.3,1.99B
2020-09-09,869.47,2.37B
2020-09-08,878.29,2.52B
2020-09-07,878.88,1.88B
2020-09-04,866.04,1.73B
2020-09-03,874.13,1.76B
2020-09-02,866.74,1.84B
2020-09-01,853.37,1.84B
2020-08-31,848.24,1.89B
2020-08-28,841.3,2.11B
2020-08-27,836.4,2.95B
2020-08-26,841.35,2.15B
2020-08-25,836.31,1.61B
2020-08-24,815.74,1.52B
2020-08-21,796.01,1.66B
2020-08-20,791.14,1.81B
2020-08-19,818.74,1.60B
2020-08-18,800.22,1.90B
2020-08-14,835.03,1.73B
2020-08-13,854.77,1.81B
2020-08-12,845.6,1.67B
2020-08-11,860.23,1.53B
2020-08-10,862.76,1.46B
2020-08-07,857.63,1.40B
2020-08-06,854.12,1.50B
2020-08-05,847.28,1.52B
2020-08-04,835.35,1.51B
2020-08-03,827.57,1.52B
2020-07-31,815.3,1.36B
2020-07-30,814.19,1.30B
2020-07-29,808.59,1.18B
2020-07-28,807.85,1.55B
2020-07-27,801.23,1.29B
2020-07-24,794.8,1.46B
2020-07-23,801.69,1.38B
2020-07-22,794.99,1.48B
2020-07-21,790.58,1.50B
2020-07-20,781.96,1.40B
2020-07-17,783.22,1.37B
2020-07-16,775.07,1.63B
2020-07-15,781.29,1.53B
2020-07-14,778.39,1.64B
2020-07-13,781.19,1.40B
2020-07-10,772.81,1.33B
2020-07-09,772.9,1.47B
2020-07-08,765.96,1.31B
2020-07-07,759.16,1.29B
2020-07-06,759.9,1.14B
2020-07-03,752.18,1.29B
2020-07-02,742.55,1.16B
2020-07-01,727.58,1.18B
2020-06-30,737.97,1.64B
2020-06-29,734.69,1.35B
2020-06-26,750.58,1.52B
2020-06-25,750.36,1.36B
2020-06-24,759.5,1.33B
2020-06-23,753.23,1.58B
2020-06-22,751.64,1.34B
2020-06-19,742.03,1.53B
2020-06-18,737.33,1.24B
2020-06-17,735.4,1.41B
2020-06-16,735.38,1.32B
2020-06-15,693.15,1.47B
2020-06-12,746.06,1.32B
2020-06-11,757.06,1.45B
2020-06-10,758.62,1.58B
2020-06-09,753.82,1.53B
2020-06-08,753.04,1.33B
2020-06-05,749.31,1.13B
2020-06-04,742.37,1.31B
2020-06-03,737.66,1.48B
2020-06-02,743.58,1.46B
2020-06-01,735.72,1.28B
2020-05-29,713.68,1.47B
2020-05-28,708.75,2.10B
2020-05-27,724.59,1.57B
2020-05-26,729.11,1.55B
2020-05-25,719.89,1.60B
2020-05-22,708.58,1.70B
2020-05-21,716.02,1.99B
2020-05-20,708.76,2.07B
2020-05-19,696.36,1.82B
2020-05-18,690.85,1.47B
