,날짜,거래량,변동 %
0,2020-12-30,115641000000,-0.12
1,2020-12-29,108631000000,3.16
2,2020-12-28,105241000000,0.59
3,2020-12-24,86021000000,0.82
4,2020-12-23,91731000000,-0.59
5,2020-12-22,118381000000,-2.86
6,2020-12-21,89981000000,1.67
7,2020-12-18,88501000000,0.36
8,2020-12-17,82371000000,0.53
9,2020-12-16,74961000000,0.75
10,2020-12-15,71191000000,0.1
11,2020-12-14,101331000000,0.46
12,2020-12-11,101191000000,0.57
13,2020-12-10,122391000000,1.77
14,2020-12-09,156431000000,1.25
15,2020-12-08,107081000000,-4.34
16,2020-12-07,86241000000,3.3
17,2020-12-04,78481000000,1.86
18,2020-12-03,83571000000,2.25
19,2020-12-02,73201000000,1.25
20,2020-12-01,48661000000,0.97
21,2020-11-30,61071000000,-0.12
22,2020-11-27,51171000000,1.72
23,2020-11-26,50211000000,1.48
24,2020-11-25,94091000000,0.24
25,2020-11-24,53871000000,-1.03
26,2020-11-23,52181000000,0.49
27,2020-11-20,64811000000,1.44
28,2020-11-19,51291000000,1.16
29,2020-11-18,45181000000,1.44
30,2020-11-17,43851000000,-1.05
31,2020-11-16,51741000000,0.93
32,2020-11-13,40601000000,-0.09
33,2020-11-12,46881000000,-0.09
34,2020-11-11,50621000000,0.48
35,2020-11-10,52471000000,-1.72
36,2020-11-09,49771000000,1.35
37,2020-11-06,53111000000,-1.62
38,2020-11-05,52571000000,1.8
39,2020-11-04,77131000000,1.87
40,2020-11-03,37961000000,2.14
41,2020-11-02,26461000000,1.19
42,2020-10-30,61301000000,-3.52
43,2020-10-29,64891000000,1.83
44,2020-10-28,29931000000,3.0
45,2020-10-27,55111000000,1.28
46,2020-10-26,43371000000,-3.6
47,2020-10-23,58401000000,-0.65
48,2020-10-22,40521000000,-2.59
49,2020-10-21,41811000000,0.73
50,2020-10-20,47971000000,0.32
51,2020-10-19,44561000000,-1.05
52,2020-10-16,49781000000,-0.78
53,2020-10-15,60421000000,-2.29
54,2020-10-14,93781000000,-1.65
55,2020-10-13,60661000000,-0.68
56,2020-10-12,95821000000,0.18
57,2020-10-08,55421000000,0.09
58,2020-10-07,46961000000,0.67
59,2020-10-06,62101000000,0.29
60,2020-10-05,62061000000,0.9
61,2020-09-29,114911000000,1.18
62,2020-09-28,101761000000,3.73
63,2020-09-25,133861000000,-0.02
64,2020-09-24,243701000000,-4.69
65,2020-09-23,152471000000,-0.19
66,2020-09-22,106421000000,-2.98
67,2020-09-21,163331000000,-2.26
68,2020-09-18,141211000000,0.61
