날짜,종가,거래량
2016-01-04,1918.76,359.02M
2016-01-05,1930.53,446.55M
2016-01-06,1925.43,594.61M
2016-01-07,1904.33,393.04M
2016-01-08,1917.6200000000001,430.20M
2016-01-11,1894.8400000000001,328.77M
2016-01-12,1890.8600000000001,295.14M
2016-01-13,1916.28,265.22M
2016-01-14,1900.01,310.98M
2016-01-15,1878.8700000000001,312.36M
2016-01-18,1878.45,276.94M
2016-01-19,1889.64,335.32M
2016-01-20,1845.45,407.30M
2016-01-21,1840.53,433.74M
2016-01-22,1879.43,408.46M
2016-01-25,1893.43,315.30M
2016-01-26,1871.69,298.82M
2016-01-27,1897.8700000000001,348.90M
2016-01-28,1906.94,354.31M
2016-01-29,1912.06,386.56M
2016-02-01,1924.82,440.32M
2016-02-02,1906.6000000000001,412.27M
2016-02-03,1890.67,408.60M
2016-02-04,1916.26,365.80M
2016-02-05,1917.79,305.77M
2016-02-11,1861.54,386.43M
2016-02-12,1835.28,470.50M
2016-02-15,1862.2,284.60M
2016-02-16,1888.3,388.32M
2016-02-17,1883.94,344.63M
2016-02-18,1908.8400000000001,332.58M
2016-02-19,1916.24,312.20M
2016-02-22,1916.3600000000001,267.86M
2016-02-23,1914.22,326.81M
2016-02-24,1912.53,281.60M
2016-02-25,1918.57,305.79M
2016-02-26,1920.16,280.22M
2016-02-29,1916.66,275.05M
2016-03-02,1947.42,323.35M
2016-03-03,1958.17,420.98M
2016-03-04,1955.63,316.42M
2016-03-07,1957.8700000000001,344.61M
2016-03-08,1946.1200000000001,358.68M
2016-03-09,1952.95,355.39M
2016-03-10,1969.3300000000002,352.32M
2016-03-11,1971.41,303.42M
2016-03-14,1972.27,357.08M
2016-03-15,1969.97,264.58M
2016-03-16,1974.9,294.46M
2016-03-17,1987.99,291.58M
2016-03-18,1992.1200000000001,385.85M
2016-03-21,1989.76,323.26M
2016-03-22,1996.81,383.75M
2016-03-23,1995.1200000000001,367.55M
2016-03-24,1985.97,341.17M
2016-03-25,1983.81,463.42M
2016-03-28,1982.54,410.47M
2016-03-29,1994.91,385.45M
2016-03-30,2002.14,368.30M
2016-03-31,1995.8500000000001,335.07M
2016-04-01,1973.57,392.26M
2016-04-04,1978.97,363.32M
2016-04-05,1962.74,368.16M
2016-04-06,1971.32,358.03M
2016-04-07,1973.89,434.06M
2016-04-08,1972.05,400.62M
2016-04-11,1970.3700000000001,379.54M
2016-04-12,1981.32,387.32M
2016-04-14,2015.93,473.52M
2016-04-15,2014.71,317.71M
2016-04-18,2009.1000000000001,339.25M
2016-04-19,2011.3600000000001,401.24M
2016-04-20,2005.8300000000002,423.96M
2016-04-21,2022.1000000000001,392.10M
2016-04-22,2015.49,480.47M
2016-04-25,2014.55,397.68M
2016-04-26,2019.63,509.28M
2016-04-27,2015.4,412.80M
2016-04-28,2000.93,341.14M
2016-04-29,1994.15,401.06M
2016-05-02,1978.15,328.20M
2016-05-03,1986.41,310.49M
2016-05-04,1976.71,352.70M
2016-05-09,1967.81,342.19M
2016-05-10,1982.5,369.08M
2016-05-11,1980.1000000000001,398.53M
2016-05-12,1977.49,462.88M
2016-05-13,1966.99,509.12M
2016-05-16,1967.91,526.72M
2016-05-17,1968.06,597.58M
2016-05-18,1956.73,696.27M
2016-05-19,1946.78,505.92M
2016-05-20,1947.67,388.05M
2016-05-23,1955.25,399.51M
2016-05-24,1937.68,517.08M
2016-05-25,1960.51,656.87M
2016-05-26,1957.06,558.26M
2016-05-27,1969.17,523.53M
2016-05-30,1967.13,550.50M
2016-05-31,1983.4,657.04M
2016-06-01,1982.72,502.29M
2016-06-02,1985.1100000000001,474.23M
2016-06-03,1985.8400000000001,540.86M
2016-06-07,2011.63,481.35M
2016-06-08,2027.0800000000002,497.94M
2016-06-09,2024.17,599.68M
2016-06-10,2017.63,404.30M
2016-06-13,1979.06,443.00M
2016-06-14,1972.03,439.94M
2016-06-15,1968.8300000000002,376.77M
2016-06-16,1951.99,438.79M
2016-06-17,1953.4,485.27M
2016-06-20,1981.1200000000001,391.34M
2016-06-21,1982.7,557.44M
2016-06-22,1992.5800000000002,407.44M
2016-06-23,1986.71,455.39M
2016-06-24,1925.24,750.55M
2016-06-27,1926.8500000000001,394.27M
2016-06-28,1936.22,373.46M
2016-06-29,1956.3600000000001,451.19M
2016-06-30,1970.3500000000001,349.86M
2016-07-01,1987.32,448.13M
2016-07-04,1995.3,468.61M
2016-07-05,1989.8500000000001,405.49M
2016-07-06,1953.1200000000001,457.44M
2016-07-07,1974.0800000000002,378.76M
2016-07-08,1963.1000000000001,356.53M
2016-07-11,1988.54,337.76M
2016-07-12,1991.23,432.65M
2016-07-13,2005.55,357.64M
2016-07-14,2008.77,340.23M
2016-07-15,2017.26,477.81M
2016-07-18,2021.1100000000001,380.09M
2016-07-19,2016.89,380.80M
2016-07-20,2015.46,316.34M
2016-07-21,2012.22,391.05M
2016-07-22,2010.3400000000001,320.95M
2016-07-25,2012.32,350.23M
2016-07-26,2027.3400000000001,338.61M
2016-07-27,2025.05,411.66M
2016-07-28,2021.1000000000001,350.88M
2016-07-29,2016.19,366.38M
2016-08-01,2029.6100000000001,369.59M
2016-08-02,2019.03,409.94M
2016-08-03,1994.79,485.85M
2016-08-04,2000.03,326.51M
2016-08-05,2017.94,289.29M
2016-08-08,2031.1200000000001,270.48M
2016-08-09,2043.78,436.72M
2016-08-10,2044.64,331.09M
2016-08-11,2048.8,346.08M
2016-08-12,2050.4700000000003,376.49M
2016-08-16,2047.76,374.87M
2016-08-17,2043.75,391.72M
2016-08-18,2055.4700000000003,353.08M
2016-08-19,2056.2400000000002,392.32M
2016-08-22,2042.16,343.50M
2016-08-23,2049.93,360.41M
2016-08-24,2043.76,285.18M
2016-08-25,2042.92,277.43M
2016-08-26,2037.5,288.18M
2016-08-29,2032.3500000000001,316.97M
2016-08-30,2039.74,378.56M
2016-08-31,2034.65,400.95M
2016-09-01,2032.72,300.51M
2016-09-02,2038.31,342.63M
2016-09-05,2060.08,572.97M
2016-09-06,2066.53,462.55M
2016-09-07,2061.88,687.16M
2016-09-08,2063.73,656.65M
2016-09-09,2037.8700000000001,392.68M
2016-09-12,1991.48,422.88M
2016-09-13,1999.3600000000001,437.42M
2016-09-19,2015.78,434.44M
2016-09-20,2025.71,362.34M
2016-09-21,2035.99,525.10M
2016-09-22,2049.7,447.59M
2016-09-23,2054.07,494.11M
2016-09-26,2047.1100000000001,359.62M
2016-09-27,2062.82,664.04M
2016-09-28,2053.06,546.45M
2016-09-29,2068.7200000000003,416.17M
2016-09-30,2043.63,326.39M
2016-10-04,2054.86,318.85M
2016-10-05,2053.0,292.34M
2016-10-06,2065.3,337.71M
2016-10-07,2053.8,422.45M
2016-10-10,2056.82,314.90M
2016-10-11,2031.93,343.22M
2016-10-12,2033.73,297.37M
2016-10-13,2015.44,440.26M
2016-10-14,2022.66,458.90M
2016-10-17,2027.6100000000001,333.40M
2016-10-18,2040.43,305.93M
2016-10-19,2040.94,321.94M
2016-10-20,2040.6000000000001,276.00M
2016-10-21,2033.0,260.36M
2016-10-24,2047.74,252.04M
2016-10-25,2037.17,299.10M
2016-10-26,2013.89,392.40M
2016-10-27,2024.1200000000001,298.69M
2016-10-28,2019.42,270.53M
2016-10-31,2008.19,400.66M
2016-11-01,2007.39,321.78M
2016-11-02,1978.94,333.53M
2016-11-03,1983.8,272.73M
2016-11-04,1982.02,227.78M
2016-11-07,1997.5800000000002,210.33M
2016-11-08,2003.38,239.58M
2016-11-09,1958.38,709.04M
2016-11-10,2002.6000000000001,433.88M
2016-11-11,1984.43,386.86M
2016-11-14,1974.4,352.12M
2016-11-15,1967.53,375.66M
2016-11-16,1979.65,306.50M
2016-11-17,1980.55,272.17M
2016-11-18,1974.5800000000002,306.96M
2016-11-21,1966.05,223.51M
2016-11-22,1983.47,231.37M
2016-11-23,1987.95,308.20M
2016-11-24,1971.26,235.44M
2016-11-25,1974.46,201.94M
2016-11-28,1978.13,213.58M
2016-11-29,1978.39,214.57M
2016-11-30,1983.48,233.09M
2016-12-01,1983.75,217.88M
2016-12-02,1970.6100000000001,243.18M
2016-12-05,1963.3600000000001,237.19M
2016-12-06,1989.8600000000001,214.65M
2016-12-07,1991.89,204.41M
2016-12-08,2031.07,239.43M
2016-12-09,2024.69,225.66M
2016-12-12,2027.24,289.80M
2016-12-13,2035.98,383.36M
2016-12-14,2036.8700000000001,384.03M
2016-12-15,2036.65,300.19M
2016-12-16,2042.24,289.71M
2016-12-19,2038.39,249.87M
2016-12-20,2041.94,314.22M
2016-12-21,2037.96,284.57M
2016-12-22,2035.73,275.10M
2016-12-23,2035.9,310.88M
2016-12-26,2037.75,366.64M
2016-12-27,2042.17,384.03M
2016-12-28,2024.49,356.59M
2016-12-29,2026.46,264.52M
2017-01-02,2026.16,229.88M
2017-01-03,2043.97,268.13M
2017-01-04,2045.64,371.49M
2017-01-05,2041.95,541.34M
2017-01-06,2049.12,455.35M
2017-01-09,2048.78,398.29M
2017-01-10,2045.1200000000001,512.66M
2017-01-11,2075.17,335.53M
2017-01-12,2087.14,555.84M
2017-01-13,2076.79,518.28M
2017-01-16,2064.17,683.93M
2017-01-17,2071.87,601.44M
2017-01-18,2070.54,530.13M
2017-01-19,2072.79,415.67M
2017-01-20,2065.61,392.65M
2017-01-23,2065.9900000000002,444.86M
2017-01-24,2065.76,312.41M
2017-01-25,2066.94,310.24M
2017-01-26,2083.59,257.92M
2017-01-31,2067.57,288.28M
2017-02-01,2080.48,452.53M
2017-02-02,2071.01,825.48M
2017-02-03,2073.16,392.58M
2017-02-06,2077.66,315.32M
2017-02-07,2075.21,271.81M
2017-02-08,2065.08,266.72M
2017-02-09,2065.88,236.01M
2017-02-10,2075.08,314.68M
2017-02-13,2078.65,289.68M
2017-02-14,2074.57,332.37M
2017-02-15,2083.86,338.04M
2017-02-16,2081.84,330.47M
2017-02-17,2080.58,301.52M
2017-02-20,2084.39,297.20M
2017-02-21,2102.93,292.54M
2017-02-22,2106.61,312.22M
2017-02-23,2107.63,430.85M
2017-02-24,2094.12,385.40M
2017-02-27,2085.52,343.70M
2017-02-28,2091.64,399.82M
2017-03-02,2102.65,434.71M
2017-03-03,2078.75,425.94M
2017-03-06,2081.36,431.44M
2017-03-07,2094.05,277.83M
2017-03-08,2095.41,381.44M
2017-03-09,2091.06,408.23M
2017-03-10,2097.35,500.86M
2017-03-13,2117.59,382.13M
2017-03-14,2133.78,365.08M
2017-03-15,2133.0,374.70M
2017-03-16,2150.08,402.42M
2017-03-17,2164.58,302.79M
2017-03-20,2157.01,264.95M
2017-03-21,2178.38,303.94M
2017-03-22,2168.3,394.43M
2017-03-23,2172.7200000000003,358.61M
2017-03-24,2168.95,358.67M
2017-03-27,2155.66,395.86M
2017-03-28,2163.31,393.97M
2017-03-29,2166.98,626.79M
2017-03-30,2164.64,643.56M
2017-03-31,2160.23,441.64M
2017-04-03,2167.51,398.51M
2017-04-04,2161.1,522.09M
2017-04-05,2160.85,571.69M
2017-04-06,2152.75,510.16M
2017-04-07,2151.73,408.46M
2017-04-10,2133.32,512.92M
2017-04-11,2123.85,489.31M
2017-04-12,2128.91,427.36M
2017-04-13,2148.61,357.58M
2017-04-14,2134.88,383.69M
2017-04-17,2145.76,259.30M
2017-04-18,2148.46,291.40M
2017-04-19,2138.4,344.22M
2017-04-20,2149.15,268.32M
2017-04-21,2165.04,281.54M
2017-04-24,2173.7400000000002,374.71M
2017-04-25,2196.85,275.90M
2017-04-26,2207.84,397.53M
2017-04-27,2209.46,386.11M
