,날짜,거래량,변동 %
0,2020-12-30,236861000000,2.1
1,2020-12-29,234721000000,0.35
2,2020-12-28,304331000000,0.2
3,2020-12-24,314371000000,2.12
4,2020-12-23,296021000000,1.33
5,2020-12-22,291111000000,-1.54
6,2020-12-21,252571000000,0.17
7,2020-12-18,307531000000,-0.12
8,2020-12-17,244581000000,-0.14
9,2020-12-16,188951000000,0.44
10,2020-12-15,243331000000,-0.18
11,2020-12-14,284471000000,-0.18
12,2020-12-11,331021000000,0.78
13,2020-12-10,344581000000,-0.57
14,2020-12-09,191951000000,2.21
15,2020-12-08,192371000000,-1.73
16,2020-12-07,221801000000,0.61
17,2020-12-04,281111000000,1.65
18,2020-12-03,206861000000,0.84
19,2020-12-02,220901000000,1.78
20,2020-12-01,260001000000,1.83
21,2020-11-30,339061000000,-1.89
22,2020-11-27,178421000000,0.17
23,2020-11-26,182181000000,1.1
24,2020-11-25,333141000000,-0.57
25,2020-11-24,295441000000,0.52
26,2020-11-23,380841000000,2.3
27,2020-11-20,179111000000,0.14
28,2020-11-19,215101000000,0.06
29,2020-11-18,231641000000,0.03
30,2020-11-17,403201000000,-0.23
31,2020-11-16,465751000000,2.28
32,2020-11-13,291361000000,1.0
33,2020-11-12,342301000000,-0.42
34,2020-11-11,323231000000,1.53
35,2020-11-10,331191000000,0.09
36,2020-11-09,276821000000,1.16
37,2020-11-06,143961000000,0.18
38,2020-11-05,186091000000,2.45
39,2020-11-04,212321000000,0.56
40,2020-11-03,129001000000,2.0
41,2020-11-02,111031000000,1.44
42,2020-10-30,178911000000,-2.69
43,2020-10-29,139041000000,-1.03
44,2020-10-28,120211000000,0.44
45,2020-10-27,162321000000,-0.55
46,2020-10-26,170881000000,-0.4
47,2020-10-23,198021000000,0.33
48,2020-10-22,140731000000,-0.63
49,2020-10-21,136811000000,0.33
50,2020-10-20,135681000000,0.68
51,2020-10-19,138221000000,0.24
52,2020-10-16,126441000000,-0.67
53,2020-10-15,124411000000,-0.84
54,2020-10-14,129341000000,-0.94
55,2020-10-13,126741000000,0.13
56,2020-10-12,140941000000,0.53
57,2020-10-08,168691000000,0.04
58,2020-10-07,124431000000,0.92
59,2020-10-06,139891000000,0.3
60,2020-10-05,157991000000,1.32
61,2020-09-29,138821000000,0.78
62,2020-09-28,173181000000,1.14
63,2020-09-25,156861000000,0.36
64,2020-09-24,181251000000,-2.31
65,2020-09-23,208051000000,0.27
66,2020-09-22,304361000000,-2.24
67,2020-09-21,165861000000,-0.79
68,2020-09-18,153541000000,0.12
69,2020-09-17,178301000000,-1.34
70,2020-09-16,146881000000,-0.32
71,2020-09-15,152451000000,0.74
72,2020-09-14,176781000000,1.43
73,2020-09-11,165161000000,-0.03
74,2020-09-10,234271000000,0.88
75,2020-09-09,198501000000,-1.14
76,2020-09-08,227271000000,1.18
77,2020-09-07,264671000000,0.53
78,2020-09-04,408031000000,-1.39
79,2020-09-03,342181000000,1.58
80,2020-09-02,337041000000,0.55
81,2020-09-01,342811000000,0.87
82,2020-08-31,312181000000,-1.63
83,2020-08-28,256411000000,0.28
84,2020-08-27,175571000000,-0.89
85,2020-08-26,193541000000,0.19
86,2020-08-25,197821000000,1.38
87,2020-08-24,142211000000,1.04
88,2020-08-21,166301000000,1.52
89,2020-08-20,249741000000,-3.81
90,2020-08-19,159931000000,0.22
91,2020-08-18,247521000000,-2.0
92,2020-08-14,260401000000,-1.26
93,2020-08-13,285741000000,0.2
94,2020-08-12,293141000000,0.52
95,2020-08-11,297601000000,1.34
96,2020-08-10,261181000000,1.34
97,2020-08-07,299121000000,0.4
98,2020-08-06,254201000000,1.53
99,2020-08-05,210811000000,1.19
100,2020-08-04,219871000000,1.2
101,2020-08-03,179731000000,0.05
102,2020-07-31,201961000000,-0.84
103,2020-07-30,191761000000,0.2
104,2020-07-29,264441000000,0.37
105,2020-07-28,301281000000,2.26
106,2020-07-27,193241000000,0.98
107,2020-07-24,216211000000,-0.58
108,2020-07-23,250981000000,-0.57
109,2020-07-22,327321000000,-0.38
110,2020-07-21,366991000000,1.5
111,2020-07-20,161821000000,-0.26
112,2020-07-17,118641000000,0.8
113,2020-07-16,129451000000,-1.03
114,2020-07-15,168351000000,0.91
115,2020-07-14,126301000000,-0.07
116,2020-07-13,127051000000,1.68
117,2020-07-10,136771000000,-0.76
118,2020-07-09,140611000000,0.45
119,2020-07-08,119451000000,-0.28
120,2020-07-07,156131000000,-1.32
121,2020-07-06,128121000000,1.65
122,2020-07-03,100221000000,0.72
123,2020-07-02,111371000000,1.28
124,2020-07-01,133801000000,0.06
125,2020-06-30,179501000000,0.74
126,2020-06-29,137761000000,-1.88
127,2020-06-26,169011000000,1.3
128,2020-06-25,152981000000,-2.43
129,2020-06-24,200571000000,1.69
130,2020-06-23,163681000000,0.18
131,2020-06-22,139841000000,-0.69
132,2020-06-19,189131000000,0.52
133,2020-06-18,181591000000,-0.39
134,2020-06-17,337221000000,0.15
135,2020-06-16,247891000000,5.46
136,2020-06-15,262441000000,-4.91
137,2020-06-12,232831000000,-2.37
138,2020-06-11,275901000000,-1.12
139,2020-06-10,229071000000,0.2
140,2020-06-09,268571000000,0.19
141,2020-06-08,286661000000,0.05
142,2020-06-05,282061000000,1.46
143,2020-06-04,364581000000,0.19
144,2020-06-03,476501000000,3.56
145,2020-06-02,251031000000,1.06
146,2020-06-01,171511000000,1.81
147,2020-05-29,269471000000,0.01
148,2020-05-28,248931000000,0.24
149,2020-05-27,247181000000,0.12
150,2020-05-26,175421000000,1.73
151,2020-05-25,125431000000,1.21
152,2020-05-22,166031000000,-1.56
153,2020-05-21,159481000000,0.39
154,2020-05-20,140301000000,0.36
155,2020-05-19,253331000000,2.49
156,2020-05-18,223001000000,0.65
157,2020-05-15,228901000000,0.06
158,2020-05-14,167641000000,-0.86
159,2020-05-13,141251000000,0.98
160,2020-05-12,166801000000,-0.62
161,2020-05-11,144301000000,-0.65
162,2020-05-08,125221000000,0.85
163,2020-05-07,114361000000,-0.21
164,2020-05-06,133281000000,1.76
165,2020-05-04,174041000000,-2.92
166,2020-04-29,184481000000,0.69
167,2020-04-28,172421000000,0.61
168,2020-04-27,151361000000,1.82
169,2020-04-24,154311000000,-1.36
170,2020-04-23,163811000000,0.74
171,2020-04-22,184501000000,0.99
172,2020-04-21,257161000000,-1.09
173,2020-04-20,211001000000,-1.13
174,2020-04-17,287361000000,3.21
175,2020-04-16,197541000000,-0.14
176,2020-04-14,193121000000,1.66
177,2020-04-13,195901000000,-1.85
178,2020-04-10,286111000000,0.97
179,2020-04-09,175941000000,1.54
180,2020-04-08,173121000000,-1.22
181,2020-04-07,224451000000,1.69
182,2020-04-06,190741000000,3.93
183,2020-04-03,181041000000,-0.06
184,2020-04-02,181791000000,2.43
185,2020-04-01,228581000000,-4.42
186,2020-03-31,240441000000,1.88
187,2020-03-30,167231000000,-0.57
188,2020-03-27,249101000000,1.94
189,2020-03-26,290841000000,-1.52
190,2020-03-25,306111000000,5.7
191,2020-03-24,225731000000,9.15
192,2020-03-23,210301000000,-5.52
193,2020-03-20,269351000000,7.22
194,2020-03-19,303561000000,-7.67
195,2020-03-18,208041000000,-4.87
196,2020-03-17,216731000000,-2.61
197,2020-03-16,175051000000,-3.19
198,2020-03-13,298901000000,-2.81
199,2020-03-12,242471000000,-3.65
200,2020-03-11,194211000000,-2.89
201,2020-03-10,173091000000,0.59
202,2020-03-09,182671000000,-4.36
203,2020-03-06,140901000000,-2.23
204,2020-03-05,147441000000,1.17
205,2020-03-04,208461000000,2.42
206,2020-03-03,146721000000,0.44
207,2020-03-02,163721000000,0.88
208,2020-02-28,202611000000,-3.27
209,2020-02-27,110501000000,-1.02
210,2020-02-26,119551000000,-1.51
211,2020-02-25,117031000000,1.15
212,2020-02-24,132821000000,-3.9
213,2020-02-21,100711000000,-1.43
214,2020-02-20,90011000000,-0.56
215,2020-02-19,84261000000,0.2
216,2020-02-18,84751000000,-1.66
217,2020-02-17,84281000000,-0.08
218,2020-02-14,80531000000,0.69
219,2020-02-13,115071000000,-0.2
220,2020-02-12,110631000000,0.76
221,2020-02-11,78351000000,1.03
222,2020-02-10,72221000000,-0.66
223,2020-02-07,108111000000,-0.81
224,2020-02-06,110221000000,2.96
225,2020-02-05,102641000000,0.46
226,2020-02-04,105451000000,1.98
227,2020-02-03,111061000000,0.18
228,2020-01-31,101461000000,-1.33
229,2020-01-30,101541000000,-1.91
230,2020-01-29,85731000000,0.41
231,2020-01-28,130171000000,-3.16
232,2020-01-23,86911000000,-1.23
