예측대상일자,배추_가격(원/kg),무_가격(원/kg),양파_가격(원/kg),건고추_가격(원/kg),마늘_가격(원/kg),대파_가격(원/kg),얼갈이배추_가격(원/kg),양배추_가격(원/kg),깻잎_가격(원/kg),시금치_가격(원/kg),미나리_가격(원/kg),당근_가격(원/kg),파프리카_가격(원/kg),새송이_가격(원/kg),팽이버섯_가격(원/kg),토마토_가격(원/kg),청상추_가격(원/kg),백다다기_가격(원/kg),애호박_가격(원/kg),캠벨얼리_가격(원/kg),샤인마스캇_가격(원/kg)
2020-09-29+1week,1454.100584613526,858.0772013778865,945.5271281255456,22104.939915939227,5143.811239559356,2227.8113473303692,1423.7192921006088,1027.0937355591632,7317.286465845789,4439.367365068486,3444.10842694931,1566.502622113905,4975.950217850457,2420.232351764705,2519.0242658656784,3159.5709397343444,3783.705736144986,2061.847690698983,2130.6294195806677,3909.33710782366,11263.901196411254
2020-09-29+2week,1193.7861613492532,781.3228207626497,938.7493776080913,17379.03150131245,5216.551423450145,1980.744377604567,1273.9024621651618,900.060334752344,5855.982515354992,3296.8924873611372,2669.5972534587463,1549.837602076413,3812.5221872066804,2206.774344060241,1760.1093579551894,3130.5325470493267,4171.839949197356,1860.6337191977686,1864.0712867118154,3778.5149477057366,11598.91595737859
2020-09-29+4week,1010.2024819515942,801.0175006324102,973.3182484010428,18076.184417340177,5320.017703601785,1525.5064029262078,980.0755174063082,770.4969207186566,6091.036535439579,3104.8948827263207,2553.0121286588655,1357.2049262815744,3720.930708447876,2206.6139135187877,1776.0727548351003,2462.8953284161344,4561.534478475414,1861.5500841641845,1884.240172242485,3842.6527414254674,11053.89832375859
2020-09-30+1week,1455.7861184601657,859.5084934995646,958.1475403830507,21445.79017022005,5126.271519116928,2191.54883768158,1369.9260019553894,996.704808829621,7453.7210752647625,3799.255264278106,3339.5421518919275,1547.076700769097,4418.709107173259,2420.0593807563905,2413.117234043314,3223.3215502648263,3705.4205020887694,1881.8329633522237,2027.9689075133253,3911.854323728029,11282.568326243552
2020-09-30+2week,1153.9363185782418,812.5140889954187,942.1283328760567,19977.50845159922,5009.984777211099,1963.5982530799333,1165.0819141929128,885.5100937329997,5836.947273819049,3086.8873238535425,2626.6452454175483,1505.3640031748037,3873.6941556788993,2210.4657849952932,1765.5711900258943,3200.0801343872104,4053.7441830131434,1860.7848635204086,1909.5284377814708,3732.259712347716,11511.036214996993
2020-09-30+4week,971.7828991379907,760.031393723464,996.1274758554066,20709.189174918756,5208.295324758735,1445.6504463535882,989.6401604033683,771.4786124957812,5796.969507756203,2990.7098824092286,2535.13387202976,1386.5658231562693,3632.801987145861,2210.486332511529,1778.1561471251407,2464.3295147975687,4415.199234513717,1869.6927250783424,1854.6443044776206,3849.626420233751,11061.570780176891
2020-10-01+1week,1309.4245958560655,861.4174198783087,943.942642673453,22215.13117787242,4950.177293730928,2233.8212299025304,1359.0461464362852,1018.6277175553619,6521.639979939214,3657.07809590218,2782.9618120459527,1585.34036089415,4425.2882751226425,2353.1491102205855,2137.950153206078,3274.863701783911,3580.3193539915865,1734.5935871305933,1976.428194111502,3968.7178691983,11939.956226256234
2020-10-01+2week,1124.6165730388961,790.6610733921747,948.5842053749419,17503.671858942496,4872.7817711898115,1916.9579097668334,1203.1921835391424,883.3546467359081,5827.214941274158,3178.8576745724617,2720.0708875386927,1477.376704186926,3861.977185027218,2212.85062054428,1755.3316640451417,3110.0408616559776,3706.7073104614983,1818.3972874217188,1920.611442671539,3760.1344985766327,12326.234512370658
2020-10-01+4week,857.2269485721592,807.8517530347428,1002.8540103884313,19500.079426568336,4996.458266377067,1475.7983611608665,1035.0415796679613,764.3993745359248,5922.045673306373,3058.5817873944766,2599.7373602870875,1340.577235133855,3284.7203245419696,2212.424592676708,1758.474843787802,2438.662721719974,3135.6449671904734,1862.092674178947,1872.7862739655084,3834.379765716199,12585.391014273599
2020-10-02+1week,1172.1240842915936,795.3349303964536,950.3684760880086,18923.154373008885,5086.165220425284,2043.898110860852,1256.879887966522,928.6951703183803,6327.969736837369,2878.4460696594842,2607.611687387276,1573.9742060881322,4414.748522691711,2304.286883622187,2033.9881130430203,3224.52871693114,3556.888304708501,1880.0696414631207,1987.5176746454763,3926.471032272737,12010.792558304849
