예측대상일자,배추_가격(원/kg),무_가격(원/kg),양파_가격(원/kg),건고추_가격(원/kg),마늘_가격(원/kg),대파_가격(원/kg),얼갈이배추_가격(원/kg),양배추_가격(원/kg),깻잎_가격(원/kg),시금치_가격(원/kg),미나리_가격(원/kg),당근_가격(원/kg),파프리카_가격(원/kg),새송이_가격(원/kg),팽이버섯_가격(원/kg),토마토_가격(원/kg),청상추_가격(원/kg),백다다기_가격(원/kg),애호박_가격(원/kg),캠벨얼리_가격(원/kg),샤인마스캇_가격(원/kg)
2020-09-29+1week,1494.1007526293117,876.8021319952184,942.3195393549436,23374.819883352207,5350.362517619617,2345.095401264963,1416.5591463499409,1038.3111968452217,7355.390662853558,4729.951970769334,3610.1634581171074,1546.0639934116102,5131.322242662684,2451.6424827149635,2631.6811435855557,3068.278177592617,3393.103805068506,2049.6674709465997,2143.0988979063313,3960.309527518257,10604.215076392413
2020-09-29+2week,1213.2948018346422,786.4310485380057,933.4466228412641,17413.297926501302,5416.967262662395,2058.168212662416,1232.745068471717,880.8144759840606,5589.710096743674,3364.4767594511663,2644.219951470244,1528.092495604762,3702.889078445357,2193.683699195219,1679.6385295085101,3019.772563789209,3800.623486837824,1792.767375772225,1778.0361082832935,3789.655021525744,11023.02681091167
2020-09-29+4week,1027.7642188303923,840.3468009604609,962.8515233945694,18239.815080436732,5487.928556075258,1515.570685431683,870.4756443131744,725.1503318733111,5908.746338337323,3102.997871938507,2513.5320634301606,1280.8169037963632,3498.186706606457,2191.739130441301,1701.4878150430372,2247.9191918066604,4586.7658374332295,1829.136560283807,1716.9659962601813,3821.9606419139936,10149.171250889707
2020-09-30+1week,1503.4373821913482,874.1370629122262,960.191315558483,22538.049833799385,5320.127620496046,2303.703612225384,1355.7701481926144,998.963282569282,7512.249775164305,3954.5497075017142,3480.9015642124227,1532.6426122026487,4405.725732681194,2446.13707810922,2491.936189769782,3142.049972282653,3328.8401368525138,1808.4569960021624,2005.349281869501,3960.14162469725,10643.461140192776
2020-09-30+2week,1170.9006184588097,823.2388006000381,939.1621238464114,20654.402835773464,5154.127963239062,2041.998850962774,1103.6009931704095,862.6648971892096,5549.9026246076855,3121.025810948151,2600.4260785020715,1482.7880294270217,3737.7722243905596,2193.683699195219,1679.6385295085101,3102.352702584846,3698.2387444668566,1780.2245694004125,1818.9550551954067,3727.2940946518197,10929.958690901163
2020-09-30+4week,981.7311861384433,787.3818162952231,992.3164158596833,21555.74291762355,5346.329726434282,1419.6425295600798,891.8403900247807,726.8304597043908,5528.988040047457,2976.803376301617,2504.4597516538265,1327.6187969068303,3359.1010160526603,2191.9023306422146,1701.4878150430372,2253.9194679810444,4488.131709194139,1829.136560283807,1672.0662982941717,3825.7747738482485,10138.65029299378
2020-10-01+1week,1322.328563004004,878.5402047815619,939.8911288117755,23662.052349957492,5094.938575585248,2359.111592053601,1352.816199818571,1028.549337979874,6374.904805481486,3809.750038401264,2827.58485503954,1589.9599996388597,4449.699519028387,2361.97745523968,2163.3271645124014,3210.759983522061,3204.5471499432333,1631.4405068173644,1937.1745931719283,4042.175806401471,11551.057015726621
2020-10-01+2week,1135.3356586023299,799.8987787761627,943.6808711528789,17710.66565680017,4978.613858460316,1987.1302371276151,1161.2073905079824,863.2520164622103,5556.207646588887,3259.1302967535917,2760.2144357977304,1455.6259301413634,3744.320983551355,2195.594371582109,1682.103613210041,2999.145679323861,3308.6162882616823,1736.574558166514,1821.630924088412,3771.3521153905917,12033.73945379166
2020-10-01+4week,833.3575459415003,850.760095425201,996.4144235060937,20202.2709077194,5078.752235587378,1458.7674615118397,959.459332099548,721.0006827848624,5700.890008831254,3078.9225502413724,2619.5251783212316,1276.8547128228308,2958.093760475538,2191.739130441301,1695.2974484544316,2238.226598092669,2966.641553810229,1829.136560283807,1690.9887491812126,3815.9029980276637,12092.498848736312
2020-10-02+1week,1169.5977964651715,797.1327618291891,956.676278050243,19357.432419055942,5335.81988793812,2138.416338076009,1235.9296754943296,919.6779689676985,6185.215096325426,2872.0526868260213,2624.4373843939534,1581.3762993479888,4474.401686745904,2319.19202563051,2054.9798142549853,3147.044351366792,3174.0352717318997,1813.700443483138,1947.6150288051765,4012.9477944274313,11653.149013100063
2020-10-02+2week,1016.4512875816367,760.5651358176401,969.5099610192334,19423.186951512416,5255.206866126452,1912.7939455705655,1106.829920369308,784.7656150352173,5834.759893971472,3224.3465267872803,2840.585724714763,1413.306009945316,3670.5669588652945,2195.594371582109,1682.103613210041,3001.3498022972362,3290.2533018672316,1757.3702505615777,1749.3320979265636,3852.5335579969365,11769.150702489665
