예측대상일자,배추_가격(원/kg),무_가격(원/kg),양파_가격(원/kg),건고추_가격(원/kg),마늘_가격(원/kg),대파_가격(원/kg),얼갈이배추_가격(원/kg),양배추_가격(원/kg),깻잎_가격(원/kg),시금치_가격(원/kg),미나리_가격(원/kg),당근_가격(원/kg),파프리카_가격(원/kg),새송이_가격(원/kg),팽이버섯_가격(원/kg),토마토_가격(원/kg),청상추_가격(원/kg),백다다기_가격(원/kg),애호박_가격(원/kg),캠벨얼리_가격(원/kg),샤인마스캇_가격(원/kg)
2020-09-29+1week,1452.1811136193433,885.4721414370623,926.937418603253,20625.181426051102,5383.542098653558,2330.9255082496693,1309.7590653624704,1003.3086440769076,6925.296649786154,4335.331209994042,3799.2997466366787,1486.2039937761174,4682.920642815717,2440.163526513732,2408.437983902153,2869.858327077559,3607.339988471753,2035.8702955318938,1999.8908796172282,3965.4958282122534,9966.921991321207
2020-09-29+2week,1285.1395884173212,762.4730315932215,933.5246419870382,18008.74271325065,5438.486072737447,1897.1763304523017,1101.1968445385928,854.9142570349991,5609.356757356212,3294.800513514646,2953.899526516372,1504.1180861812873,3757.7108966445535,2217.068045886672,1793.5183003987863,2885.0603541602295,4848.950659434537,1727.2486781204875,1655.9039183994591,3676.795528340997,10177.790260924585
2020-09-29+4week,1020.8834216710555,751.4225154704648,916.9873766875191,18798.374337093366,5405.466719443879,1409.5607333408416,853.6168504768998,764.8486034366556,5748.790649637412,3096.7528422192536,2326.088419410393,1264.317936761463,3241.1675720532285,2273.6813327987757,1927.600719044956,2632.880128129893,5597.427352310365,1949.586956899716,1794.782863852747,3864.8005113866843,9760.456719194855
2020-09-30+1week,1454.273134455049,870.7438244248631,944.4502415194759,20157.581557524692,5264.0179118105225,2307.3426508392545,1280.2054476314634,932.934522144016,7151.166635629028,3845.4385500399194,3744.387915895274,1512.1368578591369,4164.465893684347,2341.0286220624225,2130.4533243770784,2935.3669050866392,3571.8191162778194,1903.3550238799876,1873.7928049972506,3891.994518403312,10285.036234158888
2020-09-30+2week,1282.0305094247174,797.0300753488473,953.8473277923463,18079.504640542982,5068.197038260156,1902.6965080009181,987.3534140656736,824.0845543074954,5415.759173631968,2986.477138872513,2966.9647482354108,1392.8237022135108,3693.687015515593,2172.215018542922,1813.6622212972238,3186.896810276798,4340.391833170928,1655.4007368486436,1672.727161386766,3550.21687154466,10562.543798575582
2020-09-30+4week,1011.0457688504716,845.0358483331584,1035.0878954298416,17860.287962718023,5293.896552670266,1345.4898438816022,884.1040329030154,733.7902298521954,5419.294801273729,2760.298294596121,2382.447038912851,1319.904796402634,3035.715791229455,2237.8945246961075,1923.813121388706,2729.3543873108347,6096.969663190819,1895.5135926419034,1644.3172677994294,3711.3450285256868,9972.767041028139
2020-10-01+1week,1276.6352898027833,882.5124119610934,940.7425004410441,22786.958792166246,4989.0295905269995,2159.1555885072694,1250.1187932686605,907.389415083687,6718.489267975117,3436.946552403757,2559.130562285395,1560.834064760836,4119.716336662631,2268.1223946120276,2057.5623859671377,2997.5882437141554,2454.6358186239604,1637.4478535063386,1934.091141800808,4175.781262575736,11180.50214067581
2020-10-01+2week,1193.3645456097588,781.3215512533158,964.1917234182363,19403.30157840008,4847.327681183283,1897.2930848724013,1015.8488124414912,787.1257640904801,4994.188784231943,3256.4493036502336,3355.6490880160527,1475.6332165355257,3679.4219663850527,2212.1487482910543,1801.1830932261141,2868.8467654431806,4258.799355068341,1546.8671741027883,1668.454378059831,3721.0008867968586,11807.122656583331
2020-10-01+4week,825.5692148652813,832.2333191969755,1000.777341147578,17123.0114304222,5061.8648873249385,1434.854739056701,974.9171050146178,720.5100154646968,5832.504086446877,2868.8885212144364,2689.717911426241,1202.7446781887593,2812.7183890268316,2259.869687290963,1829.386578231122,2573.0112482650848,3030.0333013191766,1897.7984437161222,1857.480397539825,3772.488242177895,12050.803623586906
2020-10-02+1week,1172.0723357325858,813.0294241274852,955.4414715446528,17236.88661968422,5147.045442015935,1918.9467554637856,1254.2914368682586,905.4822034779897,6344.264042303338,2759.8605719286356,2435.7138093844765,1491.608010513838,4299.086829701077,2264.7401778543176,1957.1653832017114,3063.1526688474587,2968.395809694075,1801.3303242806314,1888.2368967268067,4101.134297604341,11038.43827608128
