,주소,상세주소,지역코드,대분류,중분류,소분류,콘텐츠ID,콘텐츠타입ID,등록일,행사 종료,행사 시작,firstimage,firstimage2,mapx,mapy,mlevel,수정일,조회수,시군구코드,전화번호,제목
0,서울특별시 종로구 삼청로 30,(소격동),1,A02,A0207,A02070200,2733528,15,20210812164105,20220313,20210721,http://tong.visitkorea.or.kr/cms/resource/27/2733527_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2733527_image2_1.jpg,126.9800649747,37.5788361778,6,20210813104248,0,23,02-3701-9500,《MMCA 이건희컬렉션 특별전: 한국미술명작》
1,충청남도 부여군 규암면 백제문로 388,,34,A02,A0208,A02080100,1258353,15,20110418095420,20211030,20210306,http://tong.visitkorea.or.kr/cms/resource/54/2483454_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/54/2483454_image2_1.JPG,126.8997016069,36.3048428766,6,20210226112411,56458,6,041-832-5765,가무악극으로 만나는 토요 상설공연
2,경상북도 칠곡군 가산면 학하들안2길 105,,35,A02,A0207,A02070200,2709958,15,20210316170348,20210630,20210320,http://tong.visitkorea.or.kr/cms/resource/89/2713489_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/89/2713489_image2_1.jpg,128.4850691574,36.0861545517,6,20210409093816,0,22,054-971-9861,가산수피아 '봄의 정원'
3,경기도 양평군 단월면 곱다니길 55-2 수미마을 방문객센터,,31,A02,A0208,A02081300,2704330,15,20210119152643,20211231,20210116,http://tong.visitkorea.or.kr/cms/resource/26/2704326_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/26/2704326_image2_1.JPG,127.6574135888,37.5145504080,6,20210119152643,0,19,031-775-5205,가족끼리 빙어체험 2021
4,경기도 양평군 단월면 곱다니길 55-2,,31,A02,A0207,A02070200,1820268,15,20130617093258,20210606,20210301,http://tong.visitkorea.or.kr/cms/resource/96/2707496_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2707496_image2_1.jpg,127.6573663730,37.5144948588,6,20210308133050,94324,19,031-775-5205,가족끼리딸기 캠피닉
5,대구광역시 북구 호암로 15,(칠성동2가),4,A02,A0208,A02080400,2705052,15,20210201172200,20210228,20210225,http://tong.visitkorea.or.kr/cms/resource/60/2705060_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/60/2705060_image2_1.jpg,128.5922570230,35.8835072863,6,20210201173042,0,5,053-666-6170,가족오페라 <마술피리> 2021
6,강원도 강릉시 단오장길 1,,32,A02,A0207,A02070200,531391,15,20080414154012,20210617,20210610,http://tong.visitkorea.or.kr/cms/resource/11/2719611_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2719611_image2_1.jpg,128.8950169869,37.7482134974,6,20210603170713,143108,1,033-641-1593,강릉 단오제
7,강원도 춘천시 평화로 26,(근화동),32,A02,A0208,A02080600,2496162,15,20170615173512,20210808,20210806,http://tong.visitkorea.or.kr/cms/resource/58/2496158_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2496158_image2_1.jpg,127.7184944906,37.8813589518,6,20210714174328,3282,13,033-260-9320,강원그린박람회
8,강원도 고성군 토성면 잼버리로 244,,32,A02,A0208,A02081300,2713558,15,20210409172716,20220605,20220504,http://tong.visitkorea.or.kr/cms/resource/57/2713557_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/57/2713557_image2_1.jpg,128.5001657397,38.2236839691,6,20210503102009,0,2,033-818-2147,강원세계산림엑스포
9,경상남도 거창군 거창읍 중앙로 103,,36,A02,A0207,A02070200,1866255,15,20131203110702,20210214,20201213,http://tong.visitkorea.or.kr/cms/resource/31/2694131_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2694131_image2_1.jpg,127.9095393091,35.6866949586,6,20201208153115,22057,2,070-8809-9182,거창 크리스마스트리문화축제 2021
10,온라인개최,(웅진동),34,A02,A0207,A02070200,2531702,15,20180117143143,20210131,20210129,http://tong.visitkorea.or.kr/cms/resource/82/2704382_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2704382_image2_1.jpg,127.1075869625,36.4666363013,6,20210120171108,3567,1,041-840-8111,겨울공주 온라인 군밤축제 2021
11,경기도 화성시 병점중앙로 283-33,(기산동),31,A02,A0207,A02070200,2648430,15,20200221163342,20211010,20211001,http://tong.visitkorea.or.kr/cms/resource/66/2733366_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/66/2733366_image2_1.png,127.0429415014,37.2225202975,6,20210812092113,0,31,031-229-5905,경기곤충페스티벌
12,경기도 수원시 권선구 서둔로 166,(서둔동),31,A02,A0207,A02070200,2731552,15,20210805130547,20211106,20210619,http://tong.visitkorea.or.kr/cms/resource/45/2731545_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/2731545_image2_1.jpg,126.9850066316,37.2668308007,6,20210810131008,0,13,031-296-1980,경기상상캠퍼스 문화축제 '리틀포레'
13,경기도 수원시 권선구 서둔로 166,(서둔동),31,A02,A0207,A02070200,1825520,15,20130705101844,20211024,20210903,http://tong.visitkorea.or.kr/cms/resource/27/2728527_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2728527_image2_1.jpg,126.9850066316,37.2668308007,6,20210728182541,10140,13,070-4681-0675,경기인형극제 in Suwon
