,지역레벨 코드,지역명,기준연월,상세주수명,관심지점명,검색순위,시군구레벨코드,시군구 명,전체여부
0,42,강원도,202106,강원 강릉시 초당동 309-1,동화가든,1,42150,강릉시,N
1,42,강원도,202106,강원 고성군 토성면 용촌리 75-36,바다정원,2,42820,고성군,N
2,41,경기도,202106,경기 파주시 문발동 75-6,더티트렁크,3,41480,파주시,N
3,41,경기도,202106,경기 남양주시 와부읍 도곡리 504-15,스타벅스 리버사이드팔당DTR점,4,41360,남양주시,N
4,41,경기도,202106,경기 양평군 양평읍 양근리 501-3,스타벅스 더양평DTR점,5,41830,양평군,N
5,42,강원도,202106,강원 속초시 영랑동 148-30,봉포머구리집,6,42210,속초시,N
6,41,경기도,202106,경기 고양시 일산동구 정발산동 1271-3,일산칼국수 본점,7,41285,고양시 일산동구,N
7,45,전라북도,202106,전북 군산시 중앙로1가 12-2,이성당 본점,8,45130,군산시,N
8,50,제주특별자치도,202106,제주 서귀포시 서귀동 254-6,오는정김밥,9,50130,서귀포시,N
9,41,경기도,202106,경기 남양주시 별내동 2184-76,장어의꿈,10,41360,남양주시,N
10,42,강원도,202106,강원 강릉시 초당동 355,카페툇마루,11,42150,강릉시,N
11,42,강원도,202106,강원 강릉시 구정면 어단리 314,테라로사커피공장 강릉본점,12,42150,강릉시,N
12,41,경기도,202106,경기 용인시 수지구 고기동 593-4,고기리막국수,13,41465,용인시 수지구,N
13,41,경기도,202106,경기 파주시 오도동 216-1,앤드테라스 파주점,14,41480,파주시,N
14,50,제주특별자치도,202106,제주 서귀포시 안덕면 사계리 86,원앤온리,15,50130,서귀포시,N
15,50,제주특별자치도,202106,제주 서귀포시 색달동 2950-4,더클리프,16,50130,서귀포시,N
16,28,인천광역시,202106,인천 옹진군 영흥면 선재리 148-2,뻘다방,17,28720,옹진군,N
17,41,경기도,202106,경기 고양시 덕양구 대자동 75,강강술래 늘봄농원점,18,41281,고양시 덕양구,N
18,42,강원도,202106,강원 속초시 조양동 1555-1,청초수물회 속초본점,19,42210,속초시,N
19,41,경기도,202106,경기 고양시 일산동구 식사동 514-26,포레스트아웃팅스,20,41285,고양시 일산동구,N
20,50,제주특별자치도,202106,제주 제주시 삼도이동 831,우진해장국,21,50110,제주시,N
21,26,부산광역시,202106,부산 기장군 장안읍 월내리 553,웨이브온커피,22,26710,기장군,N
22,41,경기도,202106,경기 의정부시 장암동 98-23,파크프리베,23,41150,의정부시,N
23,41,경기도,202106,경기 남양주시 와부읍 팔당리 80-11,팔당초계국수 본점,24,41360,남양주시,N
24,50,제주특별자치도,202106,제주 제주시 삼도이동 1167-1,자매국수 본점,25,50110,제주시,N
25,41,경기도,202106,경기 수원시 팔달구 인계동 958-1,가보정갈비 본관(1관),26,41115,수원시 팔달구,N
26,41,경기도,202106,경기 고양시 덕양구 행주내동 138-3,원조국수집,27,41281,고양시 덕양구,N
27,41,경기도,202106,경기 남양주시 별내동 2334,목향원,28,41360,남양주시,N
28,41,경기도,202106,경기 시흥시 대야동 305-24,카페청화공간,29,41390,시흥시,N
29,28,인천광역시,202106,인천 중구 을왕동 859-3,동해막국수,30,28110,중구,N
30,42,강원도,202106,강원 춘천시 신북읍 천전리 38-26,통나무집닭갈비 본점,31,42110,춘천시,N
31,41,경기도,202106,경기 양주시 장흥면 교현리 114-8,송추가마골 본관,32,41630,양주시,N
32,41,경기도,202106,경기 파주시 탄현면 낙하리 4-1,갈릴리농원 본관,33,41480,파주시,N
33,41,경기도,202106,경기 성남시 수정구 시흥동 81-6,파네트리 제과명장 김영모,34,41131,성남시 수정구,N
34,42,강원도,202106,강원 춘천시 신북읍 천전리 99-13,카페감자밭,35,42110,춘천시,N
35,46,전라남도,202106,전남 여수시 돌산읍 평사리 1273-5,모이핀,36,46130,여수시,N
36,28,인천광역시,202106,인천 중구 중산동 1949-1,바다앞테라스,37,28110,중구,N
37,30,대전광역시,202106,대전 유성구 도룡동 4-19,성심당 DCC점,38,30200,유성구,N
38,41,경기도,202106,경기 용인시 수지구 고기동 223-3,테라스 478,39,41465,용인시 수지구,N
