,지역레벨 코드,지역명,기준연월,상세주수명,관심지점명,검색순위,시군구레벨코드,시군구 명,전체여부
0,41,경기도,202106,경기 하남시 신장동 616,스타필드 하남,1,41450,하남시,Y
1,11,서울특별시,202106,서울 강서구 공항동 1373,김포국제공항국내선,2,11500,강서구,Y
2,41,경기도,202106,경기 고양시 덕양구 동산동 370,스타필드 고양,3,41281,고양시 덕양구,Y
3,41,경기도,202106,경기 용인시 기흥구 고매동 280,롯데프리미엄아울렛 기흥점,4,41463,용인시 기흥구,Y
4,41,경기도,202106,경기 파주시 탄현면 법흥리 1790-8,신세계프리미엄아울렛 파주점,5,41480,파주시,Y
5,41,경기도,202106,경기 남양주시 다산동 6141,현대프리미엄아울렛 스페이스원,6,41360,남양주시,Y
6,28,인천광역시,202106,인천 연수구 송도동 168-1,현대프리미엄아울렛 송도점,7,28185,연수구,Y
7,41,경기도,202106,경기 광명시 일직동 276-8,광명역,8,41210,광명시,Y
8,41,경기도,202106,경기 김포시 고촌읍 전호리 654,현대프리미엄아울렛 김포점,9,41570,김포시,Y
9,41,경기도,202106,경기 고양시 덕양구 도내동 1003,이케아 고양점,10,41281,고양시 덕양구,Y
10,11,서울특별시,202106,서울 영등포구 여의도동 8,여의도한강공원,11,11560,영등포구,Y
11,50,제주특별자치도,202106,제주 제주시 용담이동 2002,제주국제공항,12,50110,제주시,Y
12,41,경기도,202106,경기 안성시 공도읍 진사리 354,스타필드 안성,13,41550,안성시,Y
13,41,경기도,202106,경기 시흥시 정왕동 1772-7,신세계프리미엄아울렛 시흥점,14,41390,시흥시,Y
14,41,경기도,202106,경기 광명시 일직동 500,이케아 광명점,15,41210,광명시,Y
15,41,경기도,202106,경기 용인시 기흥구 고매동 41-7,이케아 기흥점,16,41463,용인시 기흥구,Y
16,30,대전광역시,202106,대전 유성구 용산동 579,현대프리미엄아울렛 대전점,17,30200,유성구,Y
17,11,서울특별시,202106,서울 영등포구 영등포동4가 442,타임스퀘어,18,11560,영등포구,Y
18,11,서울특별시,202106,서울 강남구 수서동 214-2,SRT수서역,19,11680,강남구,Y
19,11,서울특별시,202106,서울 강서구 방화동 886,롯데몰 김포공항점,20,11500,강서구,Y
20,11,서울특별시,202106,서울 동작구 노량진동 13-6,노량진수산시장,21,11590,동작구,Y
21,11,서울특별시,202106,서울 송파구 가락동 600,가락동농수산물도매시장,22,11710,송파구,Y
22,11,서울특별시,202106,서울 강남구 삼성동 159,코엑스,23,11680,강남구,Y
23,26,부산광역시,202106,부산 강서구 대저2동 2350,김해공항국내선청사,24,26440,강서구,Y
24,28,인천광역시,202106,인천 중구 을왕동 717-12,을왕리해수욕장,25,28110,중구,Y
25,42,강원도,202106,강원 속초시 중앙동 471-4,속초관광수산시장,26,42210,속초시,Y
26,41,경기도,202106,경기 파주시 문발동 645,롯데프리미엄아울렛 파주점,27,41480,파주시,Y
27,11,서울특별시,202106,서울 강서구 공항동 1373,김포국제공항,28,11500,강서구,Y
28,28,인천광역시,202106,인천 중구 북성동1가,월미도,29,28110,중구,Y
29,41,경기도,202106,경기 하남시 학암동 660,스타필드시티 위례,30,41450,하남시,Y
30,44,충청남도,202106,충남 아산시 배방읍 장재리 305,천안아산역,31,44200,아산시,Y
31,41,경기도,202106,경기 여주시 상거동 460,신세계프리미엄아울렛 여주점(EAST),32,41670,여주시,Y
32,28,인천광역시,202106,인천 연수구 동춘동 926,스퀘어원,33,28185,연수구,Y
33,41,경기도,202106,경기 부천시 옥길동 768,스타필드시티 부천,34,41190,부천시,Y
34,41,경기도,202106,경기 이천시 호법면 단천리 864,롯데프리미엄아울렛 이천점,35,41500,이천시,Y
35,41,경기도,202106,경기 화성시 오산동 967-164,SRT동탄역,36,41590,화성시,Y
36,41,경기도,202106,경기 용인시 처인구 포곡읍 전대리 310,에버랜드,37,41461,용인시 처인구,Y
